date,reported,genomic
8/3/20,2234.664533,83340.24838
8/4/20,2296.644926,86071.34449
8/5/20,2363.182107,88818.60103
8/6/20,2429.719287,91575.2977
8/7/20,2497.353604,94333.96629
8/8/20,2569.539201,97087.85758
8/9/20,2641.724798,99830.77926
8/10/20,2715.522338,102552.1509
8/11/20,2793.831893,105245.9811
8/12/20,2872.141448,107904.6901
8/13/20,2952.656427,110515.1082
8/14/20,3037.604815,113076.254
8/15/20,3122.553203,115570.0122
8/16/20,3210.388566,117994.8594
8/17/20,3302.533128,120340.9593
8/18/20,3394.67769,122592.8302
8/19/20,3490.489212,124755.1826
8/20/20,3590.433107,126801.6701
8/21/20,3690.377003,128739.7578
8/22/20,3794.877693,130556.2893
8/23/20,3903.273488,132237.9631
8/24/20,4011.669283,133794.8581
8/25/20,4125.63412,135193.9992
8/26/20,4243.187631,136454.8083
8/27/20,4360.741141,137560.5203
8/28/20,4485.012155,138504.2435
8/29/20,4612.486554,139300.0589
8/30/20,4739.960953,139912.1039
8/31/20,4875.452667,140371.1166
9/1/20,5013.672864,140658.6002
9/2/20,5151.893061,140774.4561
9/3/20,5299.598309,140733.5431
9/4/20,5449.455611,140516.3425
9/5/20,5599.312913,140134.3846
9/6/20,5760.309047,139600.9473
9/7/20,5922.76611,138897.3041
9/8/20,6085.223173,138041.3429
9/9/20,6260.678665,137045.1688
9/10/20,6436.774749,135891.7163
9/11/20,6613.195764,134603.6155
9/12/20,6804.052286,133191.4485
9/13/20,6994.908808,131640.5917
9/14/20,7187.218509,129976.3694
9/15/20,7394.044905,128207.7144
9/16/20,7600.8713,126323.0754
9/17/20,7810.461045,124348.2589
9/18/20,8034.56093,122290.0348
9/19/20,8258.660814,120142.1374
9/20/20,8487.037112,117926.9611
9/21/20,8729.81474,115649.8673
9/22/20,8972.592367,113310.3364
9/23/20,9220.849247,110925.2976
9/24/20,9482.017389,108499.7692
9/25/20,9743.185532,106037.0359
9/26/20,10019.81347,103549.1261
9/27/20,10298.8489,101041.2723
9/28/20,10586.12451,98518.30524
9/29/20,10884.20907,95988.38931
9/30/20,11182.29363,93456.5901
10/1/20,11500.67932,90928.96286
10/2/20,11819.06717,88410.49829
10/3/20,12149.72569,85905.76827
10/4/20,12489.74688,83419.03753
10/5/20,12832.86801,80954.26468
10/6/20,13195.93207,78516.21151
10/7/20,13558.99614,76110.00758
10/8/20,13939.28044,73736.70096
10/9/20,14326.88009,71399.03932
10/10/20,14721.5528,69099.48691
10/11/20,15135.43015,66840.23475
10/12/20,15549.3075,64623.21181
10/13/20,15985.90375,62450.09662
10/14/20,16427.91901,60326.54262
10/15/20,16880.28533,58250.41578
10/16/20,17352.2464,56221.99221
10/17/20,17824.20747,54242.02367
10/18/20,18324.32506,52311.07785
10/19/20,18828.14074,50429.5508
10/20/20,19346.25381,48597.67914
10/21/20,19883.93716,46817.4201
10/22/20,20421.62052,45090.17104
10/23/20,20993.86688,43412.41782
10/24/20,21567.53831,41783.84776
10/25/20,22160.2674,40204.04755
10/26/20,22772.15744,38672.51301
10/27/20,23385.57776,37188.65835
10/28/20,24038.94351,35752.60596
10/29/20,24692.30926,34363.10796
10/30/20,25366.75742,33022.55205
10/31/20,26065.11966,31726.85574
11/1/20,26763.48189,30475.11906
11/2/20,27504.877,29266.40665
11/3/20,28251.04433,28100.27522
11/4/20,29014.04955,26974.59267
11/5/20,29810.96217,25889.20291
11/6/20,30607.87478,24843.06861
11/7/20,31445.87353,23835.14297
11/8/20,32296.60248,22864.37382
11/9/20,33158.4547,21929.70739
11/10/20,34066.19986,21030.87604
11/11/20,34973.94501,20164.78733
11/12/20,35915.67564,19331.42181
11/13/20,36877.64761,18529.77733
11/14/20,37868.11898,17758.86302
11/15/20,38880.82178,17018.10266
11/16/20,39919.86102,16308.54428
11/17/20,40985.57325,15626.61693
11/18/20,42075.18688,14973.19361
11/19/20,43196.24254,14343.44544
11/20/20,44338.47995,13737.15733
11/21/20,45517.26365,13153.65253
11/22/20,46714.21324,12599.54292
11/23/20,47953.1545,12066.40783
11/24/20,49206.93922,11553.42259
11/25/20,50508.50565,11059.9825
11/26/20,51820.31533,10586.76403
11/27/20,53181.41156,10139.67592
11/28/20,54567.8841,9704.239604
11/29/20,55984.91777,9287.618927
11/30/20,57444.3662,8891.614671
12/1/20,58920.08831,8506.360004
12/2/20,60454.2509,8142.614888
12/3/20,62006.67293,7792.409807
12/4/20,63602.02405,7452.681444
12/5/20,65233.87159,7134.742599
12/6/20,66892.14771,6825.371992
12/7/20,68606.11882,6529.258781
12/8/20,70338.53437,6248.470872
12/9/20,72127.78591,5975.437994
12/10/20,73945.91546,5717.581847
12/11/20,75803.15424,5469.823945
12/12/20,77709.55146,5229.27562
12/13/20,79636.38605,5004.71138
12/14/20,81633.50985,4786.274181
12/15/20,83651.06813,4577.049663
12/16/20,85721.68376,4379.075005
12/17/20,87833.10176,4186.629478
12/18/20,89977.7555,4004.768524
12/19/20,92185.15277,3830.353578
12/20/20,94413.90563,3660.919727
12/21/20,96710.46749,3502.932835
12/22/20,99037.76496,3349.369202
12/23/20,101411.97,3202.144626
12/24/20,103839.4172,3063.105822
