time	date	datetime	milliseconds	mean	median	upper	lower
2020.571038	2020-07-26	2020-07-26T02:17:34	1595729854543	2.898264653589258	2.705459948505079	6.0568345106533705	0.9048412831391083
2020.5661490245268	2020-07-24	2020-07-24T07:27:55	1595575675812	2.898264653589258	2.705459948505079	6.0568345106533705	0.9048412831391083
2020.5612600490535	2020-07-22	2020-07-22T12:38:17	1595421497081	2.8982756412084907	2.705459948505079	6.0568345106533705	0.9048412831391083
2020.5563710735803	2020-07-20	2020-07-20T17:48:38	1595267318351	2.8982938382893537	2.705459948505079	6.0568345106533705	0.9048412831391083
2020.551482098107	2020-07-18	2020-07-18T22:58:59	1595113139620	2.898187789610767	2.706057689458563	6.048215696626979	0.9063454167894924
2020.5465931226338	2020-07-17	2020-07-17T04:09:20	1594958960890	2.896993843541341	2.706157432463977	6.0278867690474085	0.9063454167894924
2020.5417041471605	2020-07-15	2020-07-15T09:19:42	1594804782159	2.891944194254138	2.7141833482876465	5.962605562200841	0.9153375531688611
2020.5368151716873	2020-07-13	2020-07-13T14:30:03	1594650603429	2.893464798335728	2.7226276639312474	5.921077003871616	0.9338147897557453
2020.531926196214	2020-07-11	2020-07-11T19:40:24	1594496424698	2.904791153564221	2.74444402567353	5.871804290243245	0.9656308272058317
2020.5270372207408	2020-07-10	2020-07-10T00:50:45	1594342245969	2.9381099895016916	2.7827449253709533	5.867887381456776	1.023858907887916
2020.5221482452675	2020-07-08	2020-07-08T06:01:07	1594188067238	2.9751836274946997	2.8212467349241206	5.878711969673739	1.0764162110894644
2020.5172592697943	2020-07-06	2020-07-06T11:11:28	1594033888508	3.0151962326634605	2.861178454056979	5.9000412349035685	1.1310984574851108
2020.512370294321	2020-07-04	2020-07-04T16:21:49	1593879709777	3.131321999934382	2.948579278908059	6.098615710431388	1.2783721505307573
2020.5074813188478	2020-07-02	2020-07-02T21:32:11	1593725531047	3.29791898743704	3.0735806401061625	6.400052997807453	1.5075972122538328
2020.5025923433745	2020-07-01	2020-07-01T02:42:32	1593571352316	3.424825641680593	3.1640762270247813	6.74889040863055	1.65931328765493
2020.4977033679013	2020-06-29	2020-06-29T07:52:53	1593417173586	3.5073626174041204	3.2198743984791824	6.97399432854481	1.7643459128315027
2020.492814392428	2020-06-27	2020-06-27T13:03:14	1593262994855	3.5550322542190465	3.252941003628491	7.067765565409949	1.8153916117315199
2020.4879254169548	2020-06-25	2020-06-25T18:13:36	1593108816125	3.581712844406458	3.2712206093294416	7.153060383268307	1.8319019310582678
2020.4830364414815	2020-06-23	2020-06-23T23:23:57	1592954637394	3.5992356970060975	3.2791209553944647	7.205151436555752	1.83020598841705
2020.4781474660083	2020-06-22	2020-06-22T04:34:18	1592800458665	3.6169243855686837	3.287881586838434	7.293380661003541	1.8254058511253282
2020.473258490535	2020-06-20	2020-06-20T09:44:39	1592646279934	3.6296742901733188	3.295267705669918	7.385551105334744	1.8032045971652644
2020.4683695150618	2020-06-18	2020-06-18T14:55:01	1592492101203	3.623636817783299	3.28738044667968	7.487484338870051	1.7494292371347413
2020.4634805395885	2020-06-16	2020-06-16T20:05:22	1592337922473	3.6053512932016205	3.2735784191031723	7.515601127318968	1.6601460425131143
2020.4585915641153	2020-06-15	2020-06-15T01:15:43	1592183743742	3.573742183627712	3.251176524226844	7.528502697984459	1.482735306837844
2020.453702588642	2020-06-13	2020-06-13T06:26:05	1592029565012	3.499176012691787	3.2009859131786333	7.447230403106393	1.1954124359741676
2020.4488136131688	2020-06-11	2020-06-11T11:36:26	1591875386281	3.3778392886602826	3.1079756251382595	7.316469803186418	0.982412746753179
2020.4439246376955	2020-06-09	2020-06-09T16:46:47	1591721207551	3.19330713552724	2.9660193155022805	7.17344809523182	0.8347639679869906
2020.4390356622223	2020-06-07	2020-06-07T21:57:08	1591567028821	2.9443358507792516	2.76373362558104	6.94697555215297	0.7463595457513604
2020.434146686749	2020-06-06	2020-06-06T03:07:30	1591412850091	2.6623627448144362	2.472066282468216	6.530569595663779	0.6735981878789264
2020.4292577112758	2020-06-04	2020-06-04T08:17:51	1591258671360	2.368301114226518	2.0831836380428173	6.129823462373983	0.6215572706386101
2020.4243687358025	2020-06-02	2020-06-02T13:28:12	1591104492630	2.0791643990468365	1.5545636644574272	5.760004680702299	0.5831258445663094
2020.4194797603293	2020-05-31	2020-05-31T18:38:33	1590950313899	1.8483504221549747	1.2786347936124831	5.3291076825900126	0.5609366566425837
2020.414590784856	2020-05-29	2020-05-29T23:48:55	1590796135169	1.6323690499718113	1.1436004901701518	4.6666883907982335	0.5402824763647777
2020.4097018093828	2020-05-28	2020-05-28T04:59:16	1590641956438	1.4795389803596368	1.0707689553352566	4.270899018952024	0.5222466025656438
2020.4048128339095	2020-05-26	2020-05-26T10:09:37	1590487777708	1.3610024265022076	1.0247039954938437	3.8989969162031315	0.5129089850154002
2020.3999238584363	2020-05-24	2020-05-24T15:19:58	1590333598977	1.2685147117121212	0.9934779923037014	3.516273410291204	0.506412227693135
2020.395034882963	2020-05-22	2020-05-22T20:30:20	1590179420247	1.2095797429792916	0.9743385410382254	3.2648726360953146	0.5034347207060399
2020.3901459074898	2020-05-21	2020-05-21T01:40:41	1590025241516	1.1577414854189738	0.956328907202375	3.083005676597422	0.4946918152987989
2020.3852569320165	2020-05-19	2020-05-19T06:51:02	1589871062786	1.1159267158834583	0.9415516588341525	2.936622914206908	0.4881932592214349
2020.3803679565433	2020-05-17	2020-05-17T12:01:24	1589716884056	1.0832931131641388	0.928800018851796	2.808367840995171	0.4836229386069183
2020.37547898107	2020-05-15	2020-05-15T17:11:45	1589562705326	1.0549239936933905	0.9175771751413045	2.68029068808063	0.4741125784652455
2020.3705900055968	2020-05-13	2020-05-13T22:22:06	1589408526595	1.025702421405106	0.9051079731617814	2.517348634875043	0.46068868594591966
2020.3657010301235	2020-05-12	2020-05-12T03:32:27	1589254347864	1.0026141019524553	0.8950809194426382	2.423357033968189	0.4498419111163327
2020.3608120546503	2020-05-10	2020-05-10T08:42:49	1589100169134	0.9817835282603847	0.8868668799077614	2.304741143349481	0.4367952179040847
2020.355923079177	2020-05-08	2020-05-08T13:53:10	1588945990403	0.9646025088010438	0.8783930782229832	2.216702001169626	0.4256805145104608
2020.3510341037038	2020-05-06	2020-05-06T19:03:31	1588791811673	0.9463050719781817	0.8708994730304724	2.111576877393587	0.4165651219544654
2020.3461451282305	2020-05-05	2020-05-05T00:13:52	1588637632942	0.9325983799783402	0.8641506326429037	2.0487518642086275	0.4031064052724426
2020.3412561527573	2020-05-03	2020-05-03T05:24:14	1588483454212	0.9178516983946711	0.8551930704056776	1.9546464270403447	0.3954325474636653
2020.336367177284	2020-05-01	2020-05-01T10:34:35	1588329275481	0.907196613383527	0.8493022686302517	1.8837216572551507	0.3855846157224476
2020.3314782018108	2020-04-29	2020-04-29T15:44:56	1588175096751	0.8943336325067633	0.8426502903381033	1.7573406376798657	0.3736703517683671
2020.3265892263375	2020-04-27	2020-04-27T20:55:18	1588020918020	0.8850418243327716	0.8384543518365107	1.6974371309972291	0.3621254512202481
2020.3217002508643	2020-04-26	2020-04-26T02:05:39	1587866739290	0.8757527050971904	0.8347805251254403	1.6553961735522782	0.3516565133694812
2020.316811275391	2020-04-24	2020-04-24T07:16:00	1587712560559	0.8670230593258205	0.8312268114703205	1.5938731858214652	0.3402922155308313
2020.3119222999178	2020-04-22	2020-04-22T12:26:21	1587558381830	0.8608591818385762	0.8280431629434819	1.5734685259160093	0.33225170211636923
2020.3070333244445	2020-04-20	2020-04-20T17:36:43	1587404203099	0.8557260293723072	0.8258595525167216	1.552486898955433	0.323568338550322
2020.3021443489713	2020-04-18	2020-04-18T22:47:04	1587250024369	0.8517908200294978	0.8245558453616031	1.5417545774263868	0.3187867156688186
2020.297255373498	2020-04-17	2020-04-17T03:57:25	1587095845638	0.8489750035920569	0.8237030928653015	1.5333572908478197	0.31036028841983826
2020.2923663980248	2020-04-15	2020-04-15T09:07:46	1586941666908	0.8479019127859675	0.8236603442573152	1.5340659105032992	0.30365854065981357
2020.2874774225515	2020-04-13	2020-04-13T14:18:08	1586787488177	0.8486238791945215	0.8240018813933613	1.5383643877261348	0.3034552898071911
